,제목,채널명,VPH,좋아요율(%),댓글율(%),분당조회수,좋아요,총조회수,게시일
1,You Won’t Believe This Cat Saved a Baby #youtubeshorts #viralshorts,SnuggleSnaps,210181,3.84,0.19,163347657,1108083,28858086,2025-10-09T10:07:01.000Z
2,가장 모자란 줄 알았던 친구가 사실 천재였다 #퍼스트라이드 #10월29일대개봉 #영화,어바웃타임 (About time),73050,2.34,0.01,1357262,31046,1325593,2025-10-14T09:16:17.000Z
3,결혼 했는데 남편 직업을 몰라요,일분일초,46041,1.66,0.03,2007304,30793,1860102,2025-10-13T11:01:01.000Z
4,바비인형 메이크업 숏폼대왕 히든템 총동원,뷰티리뷰,36897,3.59,0.01,4169595,98670,2751933,2025-10-12T00:50:01.000Z
5,역대급 테이프 장난들 랭킹 TOP5,어?,32838,2.27,0.01,4013223,49535,2180518,2025-10-12T09:00:55.000Z
6,1박 2일 전설의 신입PD 몰래카메라,esports KBS,29230,1.42,0.02,3331098,45566,3197854,2025-10-10T14:00:53.000Z
7,프랑스어에 당한 황우슬혜 ㅋㅋㅋ,폭스토리,27684,2.16,0.02,3684306,63229,2922883,2025-10-10T17:50:16.000Z
8,"이젠 점프는 못해도, 주인만 보면 마냥 반가운 리트리버",주월드,27514,2.78,0.02,27106535,196176,7047699,2025-10-04T11:16:01.000Z
9,세계관 못 들어간 이영자🤣 이명화 세계관 뭐야ㅋㅋ,하루 향기,25738,1.03,0.01,22690033,49033,4764907,2025-10-07T10:17:14.000Z
10,역대급 아이들 웃픈 순간들 랭킹 TOP9,예?,24165,3.55,0.02,4129453,118802,3344857,2025-10-09T09:00:05.000Z
11,돈 진짜 많이 깨지는 취미 3대장,군림보,23087,1.6,0.26,1711474,26750,1671540,2025-10-12T03:01:03.000Z
12,역대급 고양이 속이기 랭킹 TOP8,어?,23008,2.19,0.01,4072334,70805,3230718,2025-10-09T07:00:03.000Z
13,이런게 진짜 '주'술사,쇼츠타르트,21557,3.77,0.02,2100292,80064,2121295,2025-10-11T01:00:42.000Z
14,역대급 강박증 고양이들 랭킹 TOP8,엥,21406,3.49,0.02,1768230,54056,1550148,2025-10-12T03:00:01.000Z
15,솜뭉치의 넘치는 에너지 ㅋㅋ,멍냥일기,21351,3.37,0.05,12376523,73597,2186519,2025-10-10T21:00:42.000Z
16,매일 새끼를 데리고 다니는 엄마 고양이,냥숏,20915,2.9,0.03,4614142,83945,2891529,2025-10-09T09:10:00.000Z
17,민경훈 레전드 삼행시 미쳤음ㅋㅋㅋㅋ #아는형님 #아형 #예능 #웃긴숏츠 #엄정화 #민경훈,예능상회,19603,1,0.01,4476157,26676,2655853,2025-10-09T11:56:10.000Z
18,문상훈과 수지의 공통점,빠더너스 BDNS,19194,2.22,0.03,5360955,50805,2287341,2025-10-10T04:15:01.000Z
19,상어에게 쫓겨도 정신만 차리면 산다ㅋㅋ,척척박살,18147,1.17,0.01,8693702,41580,3564418,2025-10-06T23:00:05.000Z
20,눈치없는 아빠지키려는 똑똑한 리트리버#골든 리트리버#웃긴동물,라온이네하우스 Raonine House,16639,1.84,0.03,7995750,33425,1812370,2025-10-10T14:29:31.000Z
21,세상에서 가장 빠른 개는? 속도 대결의 최종 승자 공개!,꿀메이커,16121,1.02,0.05,2070611,15327,1504644,2025-10-11T06:05:00.000Z
22,대박.. 컴퓨터에 숨겨진 기능 3가지,짤컷,15451,4.29,0.01,3240067,91718,2138444,2025-10-09T09:00:45.000Z
23,대한민국 무동력 트레드밀 1인자 #shorts,힙으뜸,15428,0.59,0.01,1241437,3718,633133,2025-10-13T10:22:43.000Z
24,세계에서 가장 이상한 자동차 핸들 모음,깎고 다듬고,15338,0.63,0.01,2338591,11184,1777329,2025-10-10T07:32:32.000Z
25,러시아판 서바이벌게임 우승자 클래스!,더빙신,14889,1.79,0.13,6372810,31486,1763144,2025-10-10T05:00:05.000Z
26,아빠에게 낡은 중고차 선물을 받은 딸의 반응,짧은해설,14627,2.52,0.16,3462584,53293,2112176,2025-10-09T03:00:51.000Z
27,남매끼리 역대급 랜덤요리 게임 5탄ㅋㅋㅋㅋㅋㅋ,한살차이 [Hansal],13985,3.46,0.02,1309164,41257,1191339,2025-10-11T14:13:51.000Z
28,일본에서 유부 우동을 주문하면 생기는 일,공간 탐닉 Space Tamnik,13916,2.03,0.05,6077710,38282,1884090,2025-10-09T12:01:44.000Z
