,제목,채널명,VPH,좋아요율(%),댓글율(%),분당조회수,총조회수,게시일
1,You Won’t Believe This Cat Saved a Baby #youtubeshorts #viralshorts,SnuggleSnaps,207634,3.84,0.19,164315802,29029125,2025-10-09T10:07:01.000Z
2,You Won’t Believe This Cat Saved a Baby #youtubeshorts #viralshorts,SnuggleSnaps,206410,3.84,0.19,163347657,28858086,2025-10-09T10:07:01.000Z
3,가장 모자란 줄 알았던 친구가 사실 천재였다 #퍼스트라이드 #10월29일대개봉 #영화,어바웃타임 (About time),77177,2.41,0.02,1632167,1594083,2025-10-14T09:16:17.000Z
4,가장 모자란 줄 알았던 친구가 사실 천재였다 #퍼스트라이드 #10월29일대개봉 #영화,어바웃타임 (About time),64178,2.34,0.01,1357262,1325593,2025-10-14T09:16:17.000Z
5,결혼 했는데 남편 직업을 몰라요,일분일초,43876,1.65,0.03,2031687,1882697,2025-10-13T11:01:01.000Z
6,결혼 했는데 남편 직업을 몰라요,일분일초,43349,1.66,0.03,2007304,1860102,2025-10-13T11:01:01.000Z
7,바비인형 메이크업 숏폼대왕 히든템 총동원,뷰티리뷰,36280,3.57,0.01,4237768,2796927,2025-10-12T00:50:01.000Z
8,바비인형 메이크업 숏폼대왕 히든템 총동원,뷰티리뷰,35696,3.59,0.01,4169595,2751933,2025-10-12T00:50:01.000Z
9,역대급 테이프 장난들 랭킹 TOP5,어?,32643,2.26,0.01,4140127,2249469,2025-10-12T09:00:55.000Z
10,역대급 테이프 장난들 랭킹 TOP5,어?,31642,2.27,0.01,4013223,2180518,2025-10-12T09:00:55.000Z
11,1박 2일 전설의 신입PD 몰래카메라,esports KBS,29582,1.44,0.02,3448566,3310623,2025-10-10T14:00:53.000Z
12,1박 2일 전설의 신입PD 몰래카메라,esports KBS,28575,1.42,0.02,3331098,3197854,2025-10-10T14:00:53.000Z
13,"이젠 점프는 못해도, 주인만 보면 마냥 반가운 리트리버",주월드,27325,2.79,0.02,27184077,7067860,2025-10-04T11:16:01.000Z
14,"이젠 점프는 못해도, 주인만 보면 마냥 반가운 리트리버",주월드,27247,2.78,0.02,27106535,7047699,2025-10-04T11:16:01.000Z
15,프랑스어에 당한 황우슬혜 ㅋㅋㅋ,폭스토리,27100,2.16,0.02,3692217,2929159,2025-10-10T17:50:16.000Z
16,프랑스어에 당한 황우슬혜 ㅋㅋㅋ,폭스토리,27042,2.16,0.02,3684306,2922883,2025-10-10T17:50:16.000Z
17,세계관 못 들어간 이영자🤣 이명화 세계관 뭐야ㅋㅋ,하루 향기,25443,1.03,0.01,22734119,4774165,2025-10-07T10:17:14.000Z
18,세계관 못 들어간 이영자🤣 이명화 세계관 뭐야ㅋㅋ,하루 향기,25394,1.03,0.01,22690033,4764907,2025-10-07T10:17:14.000Z
19,역대급 아이들 웃픈 순간들 랭킹 TOP9,예?,23942,3.55,0.02,4165488,3374045,2025-10-09T09:00:05.000Z
20,역대급 아이들 웃픈 순간들 랭킹 TOP9,예?,23735,3.55,0.02,4129453,3344857,2025-10-09T09:00:05.000Z
21,돈 진짜 많이 깨지는 취미 3대장,군림보,22794,1.59,0.26,1748231,1707439,2025-10-12T03:01:03.000Z
22,역대급 고양이 속이기 랭킹 TOP8,어?,22780,2.2,0.01,4103971,3255817,2025-10-09T07:00:03.000Z
23,부모대신 인성교육 시켜주는 꼰대 송촌,알짜베스트,22628,2.33,0.06,2600004,4229340,2025-10-07T11:01:19.000Z
24,역대급 고양이 속이기 랭킹 TOP8,어?,22604,2.19,0.01,4072334,3230718,2025-10-09T07:00:03.000Z
25,돈 진짜 많이 깨지는 취미 3대장,군림보,22314,1.6,0.26,1711474,1671540,2025-10-12T03:01:03.000Z
26,솜뭉치의 넘치는 에너지 ㅋㅋ,멍냥일기,21479,3.37,0.05,12755592,2253488,2025-10-10T21:00:42.000Z
27,이런게 진짜 '주'술사,쇼츠타르트,21289,3.77,0.02,2127146,2148417,2025-10-11T01:00:42.000Z
28,이런게 진짜 '주'술사,쇼츠타르트,21021,3.77,0.02,2100292,2121295,2025-10-11T01:00:42.000Z
29,역대급 강박증 고양이들 랭킹 TOP8,엥,20947,3.5,0.02,1790319,1569513,2025-10-12T03:00:01.000Z
30,매일 새끼를 데리고 다니는 엄마 고양이,냥숏,20899,2.9,0.03,4694359,2941798,2025-10-09T09:10:00.000Z
31,솜뭉치의 넘치는 에너지 ㅋㅋ,멍냥일기,20841,3.37,0.05,12376523,2186519,2025-10-10T21:00:42.000Z
32,역대급 강박증 고양이들 랭킹 TOP8,엥,20689,3.49,0.02,1768230,1550148,2025-10-12T03:00:01.000Z
33,매일 새끼를 데리고 다니는 엄마 고양이,냥숏,20542,2.9,0.03,4614142,2891529,2025-10-09T09:10:00.000Z
34,후배 축의금 챙겨주는 유재석,유느님,19538,1.22,0.02,4849424,3847210,2025-10-07T01:01:02.000Z
35,민경훈 레전드 삼행시 미쳤음ㅋㅋㅋㅋ #아는형님 #아형 #예능 #웃긴숏츠 #엄정화 #민경훈,예능상회,19484,1.01,0.01,4531288,2688564,2025-10-09T11:56:10.000Z
36,민경훈 레전드 삼행시 미쳤음ㅋㅋㅋㅋ #아는형님 #아형 #예능 #웃긴숏츠 #엄정화 #민경훈,예능상회,19247,1,0.01,4476157,2655853,2025-10-09T11:56:10.000Z
37,문상훈과 수지의 공통점,빠더너스 BDNS,18838,2.22,0.03,5372163,2292123,2025-10-10T04:15:01.000Z
38,문상훈과 수지의 공통점,빠더너스 BDNS,18799,2.22,0.03,5360955,2287341,2025-10-10T04:15:01.000Z
39,상어에게 쫓겨도 정신만 차리면 산다ㅋㅋ,척척박살,17921,1.17,0.01,8695095,3564989,2025-10-06T23:00:05.000Z
40,상어에게 쫓겨도 정신만 차리면 산다ㅋㅋ,척척박살,17918,1.17,0.01,8693702,3564418,2025-10-06T23:00:05.000Z
41,역대급 골든리트리버 순간들 랭킹 TOP8,18초,17557,2.63,0.01,2168433,1684150,2025-10-11T06:00:00.000Z
42,눈치없는 아빠지키려는 똑똑한 리트리버#골든 리트리버#웃긴동물,라온이네하우스 Raonine House,16782,1.85,0.03,8250203,1870046,2025-10-10T14:29:31.000Z
43,눈치없는 아빠지키려는 똑똑한 리트리버#골든 리트리버#웃긴동물,라온이네하우스 Raonine House,16264,1.84,0.03,7995750,1812370,2025-10-10T14:29:31.000Z
44,달려있는... 뭐라고??,카피추,16217,1.15,0.04,17708258,3128459,2025-10-07T05:00:48.000Z
45,세상에서 가장 빠른 개는? 속도 대결의 최종 승자 공개!,꿀메이커,15983,1.01,0.05,2108044,1531845,2025-10-11T06:05:00.000Z
46,무료일 때 빨리 연장해두세요! (지금 아니면 늦습니다),1분미만,15916,4.03,0.12,1208333,1864860,2025-10-10T08:45:37.000Z
47,세상에서 가장 빠른 개는? 속도 대결의 최종 승자 공개!,꿀메이커,15699,1.02,0.05,2070611,1504644,2025-10-11T06:05:00.000Z
48,대한민국 무동력 트레드밀 1인자 #shorts,힙으뜸,15321,0.59,0.01,1308253,667209,2025-10-13T10:22:43.000Z
49,대박.. 컴퓨터에 숨겨진 기능 3가지,짤컷,15292,4.3,0.01,3264865,2154811,2025-10-09T09:00:45.000Z
